username,user_id,email,user_role,ip_address,hour,device_type,action,session_period,risk_score,risk_level,timestamp,is_weekend,is_business_hours,is_sensitive_action,is_failed_action,session_length_category
guest_099,guest_099,guest_099@hospital.com,guest,99.240.1.2,2,mobile,user_logout,4,0.5,high,2025-09-09T02:43:28.006576,False,False,False,False,short
doctor_023,doctor_023,doctor_023@hospital.com,doctor,24.114.123.45,1,desktop,user_logout,7,0.4,medium,2025-09-05T01:34:00.006576,False,False,False,False,short
contractor_062,contractor_062,contractor_062@hospital.com,contractor,27.72.59.12,12,known,access_financial_report,28,0.6,high,2025-08-27T12:58:29.006576,False,True,False,False,short
doctor_027,doctor_027,doctor_027@hospital.com,doctor,105.112.96.13,3,desktop,page_view_prescriptions,47,0.4,medium,2025-09-07T03:26:42.006576,True,False,False,False,medium
nurse_037,nurse_037,nurse_037@hospital.com,nurse,99.240.1.2,20,mobile,user_logout,117,0.25,medium,2025-09-13T20:32:51.006576,True,False,False,False,medium
manager_007,manager_007,manager_007@hospital.com,manager,86.1.2.4,5,mobile,user_login,13,0.45,medium,2025-08-29T05:28:18.006576,False,False,False,False,short
contractor_059,contractor_059,contractor_059@hospital.com,contractor,1.128.0.3,8,desktop,click_nav_financial_header,8,0.45,medium,2025-08-29T08:52:57.006576,False,False,False,False,short
doctor_022,doctor_022,doctor_022@hospital.com,doctor,172.16.0.10,11,desktop,classified_data_access,28,0.75,critical,2025-08-24T11:59:59.006576,True,True,False,False,short
nurse_036,nurse_036,nurse_036@hospital.com,nurse,10.0.0.51,22,tablet,page_view_medical_records,16,0.45,medium,2025-09-02T22:26:00.006576,False,False,False,False,short
doctor_017,doctor_017,doctor_017@hospital.com,doctor,133.1.1.2,11,desktop,click_nav_medical_header,49,0.4,medium,2025-09-19T11:54:13.006576,False,True,False,False,medium
employee_087,employee_087,employee_087@hospital.com,employee,24.114.123.47,7,mobile,page_view_dashboard,21,0.45,medium,2025-08-31T07:18:55.006576,True,False,False,False,short
guest_095,guest_095,guest_095@hospital.com,guest,210.5.32.147,4,mobile,user_logout,28,0.5,high,2025-08-31T04:15:06.006576,True,False,False,False,short
contractor_062,contractor_062,contractor_062@hospital.com,contractor,10.0.0.51,17,mobile,page_view_financial_data,18,0.4,medium,2025-09-18T17:16:06.006576,False,True,False,False,short
nurse_029,nurse_029,nurse_029@hospital.com,nurse,24.114.123.46,17,mobile,access_patient_record,3,0.25,medium,2025-09-10T17:51:23.006576,False,True,False,False,short
nurse_028,nurse_028,nurse_028@hospital.com,nurse,24.114.123.47,17,desktop,page_view_medical_records,66,0.25,medium,2025-09-16T17:48:19.006576,False,True,False,False,medium
contractor_061,contractor_061,contractor_061@hospital.com,contractor,10.0.0.51,6,desktop,access_financial_report,85,0.6,high,2025-08-23T06:34:48.006576,True,False,False,False,medium
doctor_012,doctor_012,doctor_012@hospital.com,doctor,27.72.59.13,0,desktop,click_nav_medical_header,353,0.3,medium,2025-09-02T00:02:57.006576,False,False,False,False,long
doctor_023,doctor_023,doctor_023@hospital.com,doctor,81.2.69.142,7,desktop,failed_login_attempt,19,0.65,high,2025-09-07T07:51:44.006576,True,False,False,True,short
accountant_073,accountant_073,accountant_073@hospital.com,accountant,27.72.59.12,21,mobile,page_view_financial_data,65,0.45,medium,2025-09-09T21:34:12.006576,False,False,False,False,medium
contractor_061,contractor_061,contractor_061@hospital.com,contractor,1.128.0.2,17,known,page_view_financial_data,5,0.55,high,2025-09-15T17:25:59.006576,False,True,False,False,short
accountant_073,accountant_073,accountant_073@hospital.com,accountant,27.72.59.12,21,mobile,click_nav_financial_header,10,0.45,medium,2025-09-17T21:08:30.006576,False,False,False,False,short
nurse_031,nurse_031,nurse_031@hospital.com,nurse,86.1.2.4,5,mobile,click_nav_medical_header,25,0.35,medium,2025-09-07T05:00:03.006576,True,False,False,False,short
nurse_049,nurse_049,nurse_049@hospital.com,nurse,81.2.69.144,3,mobile,user_logout,32,0.25,medium,2025-08-23T03:35:24.006576,True,False,False,False,medium
nurse_037,nurse_037,nurse_037@hospital.com,nurse,99.240.1.2,21,new,access_patient_record,6,0.35,medium,2025-08-27T21:15:34.006576,False,False,False,False,short
doctor_014,doctor_014,doctor_014@hospital.com,doctor,24.114.123.45,22,mobile,page_view_medical_records,33,0.35,medium,2025-09-07T22:48:49.006576,True,False,False,False,medium
contractor_064,contractor_064,contractor_064@hospital.com,contractor,10.0.0.51,8,mobile,click_nav_financial_header,10,0.45,medium,2025-09-05T08:48:43.006576,False,False,False,False,short
nurse_043,nurse_043,nurse_043@hospital.com,nurse,192.168.1.100,12,mobile,page_view_medical_records,2,0.3,medium,2025-09-20T12:02:07.006576,True,True,False,False,short
nurse_036,nurse_036,nurse_036@hospital.com,nurse,10.0.0.51,19,desktop,page_view_medical_records,2,0.35,medium,2025-08-29T19:47:02.006576,False,False,False,False,short
guest_093,guest_093,guest_093@hospital.com,guest,41.203.72.7,21,mobile,user_logout,26,0.55,high,2025-09-07T21:23:06.006576,True,False,False,False,short
doctor_013,doctor_013,doctor_013@hospital.com,doctor,203.1.1.1,7,desktop,click_nav_medical_header,14,0.4,medium,2025-09-12T07:14:06.006576,False,False,False,False,short
doctor_024,doctor_024,doctor_024@hospital.com,doctor,126.1.1.3,0,desktop,user_logout,30,0.5,high,2025-09-17T00:02:12.006576,False,False,False,False,medium
doctor_009,doctor_009,doctor_009@hospital.com,doctor,192.168.1.101,19,mobile,page_view_prescriptions,9,0.45,medium,2025-08-26T19:31:22.006576,False,False,False,False,short
doctor_013,doctor_013,doctor_013@hospital.com,doctor,106.51.1.2,23,desktop,user_login,8,0.5,high,2025-09-06T23:12:24.006576,True,False,False,False,short
nurse_039,nurse_039,nurse_039@hospital.com,nurse,24.114.123.47,18,desktop,page_view_medical_records,38,0.3,medium,2025-08-28T18:05:46.006576,False,False,False,False,medium
nurse_028,nurse_028,nurse_028@hospital.com,nurse,24.114.123.47,23,desktop,user_login,23,0.3,medium,2025-08-31T23:33:06.006576,True,False,False,False,short
nurse_050,nurse_050,nurse_050@hospital.com,nurse,105.112.96.12,10,desktop,user_login,147,0.25,medium,2025-08-26T10:19:04.006576,False,True,False,False,long
contractor_063,contractor_063,contractor_063@hospital.com,contractor,24.114.123.46,7,desktop,click_nav_financial_header,10,0.45,medium,2025-09-06T07:04:19.006576,True,False,False,False,short
contractor_060,contractor_060,contractor_060@hospital.com,contractor,210.5.32.148,5,desktop,user_login,13,0.6,high,2025-09-15T05:47:04.006576,False,False,False,False,short
accountant_066,accountant_066,accountant_066@hospital.com,accountant,172.16.0.10,3,desktop,access_financial_report,22,0.4,medium,2025-08-22T03:21:10.006576,False,False,False,False,short
guest_092,guest_092,guest_092@hospital.com,guest,1.128.0.1,3,desktop,page_view_dashboard,27,0.5,high,2025-09-14T03:28:22.006576,True,False,False,False,short
employee_080,employee_080,employee_080@hospital.com,employee,203.1.1.1,11,mobile,page_view_home,9,0.3,medium,2025-09-10T11:03:24.006576,False,True,False,False,short
contractor_064,contractor_064,contractor_064@hospital.com,contractor,24.114.123.45,10,mobile,user_login,95,0.5,high,2025-08-23T10:25:02.006576,True,True,False,False,medium
